1,isAddr,1,Сведения об адресе (месте нахождения),isAddr,f
2,isemail,2,Сведения об адресе электронной почты юридического лица,isemail,t
3,isRegInfo,3,Сведения о регистрации (образовании) юридического лица,isRegInfo,f
4,isChartCapital,4,Сведения об уставном капитале,isChartCapital,f
5,isSvUprOrg,5,Сведения об управляющей организации,isSvUprOrg,t
6,isSvWithoutAtt,6,"Сведения о лице, имеющем право без доверенности действовать от имени юридического лица",isSvWithoutAtt,t
7,isFounder,7,Сведения об учредителях (участниках) юридического лица,isFounder,t
8,isOKVED,8,Сведения о видах экономической деятельности по ОКВЭД,isOKVED,f
9,isLicense,9,"Сведения о лицензиях, выданных ЮЛ",isLicense,t
10,isRecord,10,"Сведения о записях, внесенных в ЕГРЮЛ",isRecord,f
