,Codes,Names,ver
0,20.42,Производство парфюмерных и косметических средств,
1,46.42.14,"Торговля оптовая аксессуарами одежды и головными уборами, кроме меховых",
2,45.2,Строительство зданий и сооружений,
3,46.49.4,Торговля оптовая прочими потребительскими товарами,
4,47.75,Торговля розничная косметическими и товарами личной гигиены в специализированных магазинах,
5,47.75.1,"Торговля розничная косметическими и парфюмерными товарами, кроме мыла в специализированных магазинах",
6,49.41.1,Перевозка грузов специализированными автотранспортными средствами,
7,52.10,Деятельность по складированию и хранению,
8,52.2,Деятельность транспортная вспомогательная,
9,52.29,"Деятельность вспомогательная прочая, связанная с перевозками",
10,58.11.1,"Издание книг, брошюр, рекламных буклетов и аналогичных изданий, включая издание словарей и энциклопедий, в том числе для слепых, в печатном виде",
11,66.1,"Деятельность вспомогательная в сфере финансовых услуг, кроме страхования и пенсионного обеспечения",
12,68.20,Аренда и управление собственным или арендованным недвижимым имуществом,
13,70.22,Консультирование по вопросам коммерческой деятельности и управления,
14,73.11,Деятельность рекламных агентств,
15,73.20,Исследование конъюнктуры рынка и изучение общественного мнения,
16,78.10,Деятельность агентств по подбору персонала,
17,11.10.11,Добыча сырой нефти и нефтяного (попутного) газа,
18,23.20,Производство нефтепродуктов,
19,51.12.1,Деятельность агентов по оптовой торговле топливом,
20,51.14,"Деятельность агентов по оптовой торговле машинами, оборудованием,  судами и летательными аппаратами",
21,51.51,Оптовая торговля топливом,
22,65.21,Финансовый лизинг,
23,65.22.1,Предоставление потребительского кредита,
24,65.22.2,Предоставление займов промышленности,
25,65.22.3,Предоставление денежных ссуд под залог недвижимого имущества,
26,65.22.4,"Предоставление кредитов на покупку домов специализированными  учреждениями, не принимающими депозиты",
27,46.21.2,Торговля оптовая необработанным табаком,
28,74.14,Консультирование по вопросам коммерческой деятельности и управления,
29,47.23,"Торговля розничная рыбой, ракообразными и моллюсками в специализированных магазинах",
30,47.23.1,Торговля розничная рыбой и морепродуктами в специализированных магазинах,
31,47.23.2,Торговля розничная консервами из рыбы и морепродуктов в специализированных магазинах,
32,46.21.11,Торговля оптовая зерном,
33,46.21.13,Торговля оптовая масличными семенами и маслосодержащими плодами,
34,27.90,Производство прочего электрического оборудования,
35,33.20,Монтаж промышленных машин и оборудования,
36,42.21,"Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения",
37,42.22.2,Строительство местных линий электропередачи и связи,
38,43.21,Производство электромонтажных работ,
39,43.29,Производство прочих строительно-монтажных работ,
40,43.99.1,Работы гидроизоляционные,
41,46.43.3,"Торговля оптовая грампластинками, аудио- и видеомагнитными лентами, компакт-дисками (CD) и цифровыми видеодисками (DVD) (кроме носителей без записей)",
42,46.51,"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением",
43,46.66,Торговля оптовая прочей офисной техникой и оборудованием,
44,46.69.5,"Торговля оптовая производственным электротехническим оборудованием, машинами, аппаратурой и материалами",
45,47.41,"Торговля розничная компьютерами, периферийными устройствами к ним и программным обеспечением в специализированных магазинах",
46,47.41.4,Торговля розничная офисными машинами и оборудованием в специализированных магазинах,
47,47.63.1,"Торговля розничная музыкальными записями, аудиолентами, компакт-дисками и кассетами в специализированных магазинах",
48,47.63.2,Торговля розничная лентами и дисками без записей в специализированных магазинах,
49,47.78.2,"Торговля розничная очками, включая сборку и ремонт очков в специализированных магазинах",
50,61.10,Деятельность в области связи на базе проводных технологий,
51,60.22,Деятельность такси,
52,62.09,"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",
53,95.12,Ремонт коммуникационного оборудования,
