,Register_years,Counts,Counts_together
0,1993,50317,0
1,1994,38275,0
2,1995,37700,0
3,1996,42698,0
4,1997,45667,0
5,1998,59040,0
6,1999,90431,0
7,2000,83784,0
8,2001,89786,0
9,2002,41044,434102
10,2003,91426,230982
11,2004,87627,97791
12,2005,111649,117721
13,2006,142184,166057
14,2007,140525,157535
15,2008,143831,150730
16,2009,125280,129862
17,2010,140373,144663
18,2011,152484,170626
19,2012,158465,169925
20,2013,172759,182875
21,2014,192367,203671
22,2015,213842,215446
23,2016,245656,273441
24,2017,198990,209845
